"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"61","RT @ETNOWlive: #BREAKING | Budget Fineprint 

-FY23 total receipts other than borrowing at Rs 24.3 lk cr
-See FY23 fiscal deficit at 6.4% o…",FALSE,0,NA,2023-02-01 07:43:36,FALSE,NA,"1620689306108170240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rjgms",3,TRUE,FALSE,NA,NA
"62","This GDP growth rate slightly decreased from the previous quarter’s growth of 0.2 percent.

#GDP #GDPgrowth #france… https://t.co/MUtw8c9UP9",FALSE,0,NA,2023-02-01 07:43:06,TRUE,NA,"1620689182304911361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AtoZ_Markets",0,FALSE,FALSE,NA,NA
"63","RT @CNBCTV18Live: #BudgetWithCNBCTV18 | #FY24 NOMINAL GDP TARGET AT 10.5% 

#GDP
@nsitharaman
#CNBCTV18LIVE #Budget2023 #BudgetSession http…",FALSE,0,NA,2023-02-01 07:43:01,FALSE,NA,"1620689162642010113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rjgms",10,TRUE,FALSE,NA,NA
"64","RT @drishtiiaseng: Unveiling #India's #Economic roadmap- The journey of the #UnionBudget through #Parliament. 

#Budget2023 #Budget #News #…",FALSE,0,NA,2023-02-01 07:42:44,FALSE,NA,"1620689088272809984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wtf_pandit_ji",2,TRUE,FALSE,NA,NA
"65","Finance Minister @nsitharaman  on Wednesday set the fiscal deficit target for 2023-24 at 5.9 per cent of the GDP, w… https://t.co/BtfAlRAk2G",FALSE,0,NA,2023-02-01 07:42:43,TRUE,NA,"1620689085701693440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","the_newsmen",0,FALSE,FALSE,NA,NA
"66","Budget 2023 : सर्वात मोठी बातमी, 7 लाखांपर्यंतचे उत्पन्न करमुक्त

#SaamanaOnline #UnionBudget2023… https://t.co/t2lnC9Fbbj",FALSE,8,NA,2023-02-01 07:42:34,TRUE,NA,"1620689046585606144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SaamanaOnline",0,FALSE,FALSE,NA,NA
"67","Unveiling #India's #Economic roadmap- The journey of the #UnionBudget through #Parliament

#Budget2023 #Budget… https://t.co/mokVbTMcpo",FALSE,1,NA,2023-02-01 07:42:06,TRUE,NA,"1620688930684243968",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","DrishtiPCS",0,FALSE,FALSE,NA,NA
"68","RT @labordeolivier: The $16Tn #EuropeanUnion!#Economy #GDP
v/@VisualCap @BetaMoroney

@sebbourguignon @enilev @Khulood_Almani @CurieuxExplo…",FALSE,0,NA,2023-02-01 07:42:00,FALSE,NA,"1620688903899578376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ProcurementStar",15,TRUE,FALSE,NA,NA
"69","RT @TamalBandyo: #Budget2023 Rs 10 trillion capital investment outlay for infrastructure— 3.3% of #GDP.",FALSE,0,NA,2023-02-01 07:41:47,FALSE,NA,"1620688848446722051",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mukherjee_1718",6,TRUE,FALSE,NA,NA
"70","RT @moneycontrolcom: #BudgetWithMC: The capital investment outlay is being increased steeply by 33% to Rs 10 lakh crore, which would be 3.3…",FALSE,0,NA,2023-02-01 07:41:34,FALSE,NA,"1620688795766079488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","random_Channel3",7,TRUE,FALSE,NA,NA
"71","RT @drishtiiaseng: Unveiling #India's #Economic roadmap- The journey of the #UnionBudget through #Parliament. 

#Budget2023 #Budget #News #…",FALSE,0,NA,2023-02-01 07:41:19,FALSE,NA,"1620688731073286146",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sidharth667",2,TRUE,FALSE,NA,NA
